,pick_count,pick_rate,ban_count,ban_rate,presence_count,presence_rate
Ziggs,4669,0.04584507526290467,1788,0.017556434904706264,6457,0.06340151016761093
Lillia,3202,0.03144055065149298,3171,0.03113616056086329,6373,0.06257671121235628
Nunu,4039,0.039659083098494745,2309,0.022672152234321456,6348,0.0623312353328162
Swain,5036,0.04944866117455299,1263,0.01240144143436466,6299,0.06185010260891765
Corki,5012,0.049213004330194515,1225,0.012028318097463743,6237,0.06124132242765826
Chogath,5090,0.04997888907435955,1075,0.010555462820223285,6165,0.06053435189458284
Ivern,3493,0.034297889889339475,2598,0.025509853401804738,6091,0.05980774329114421
Ornn,5503,0.05403415060436161,542,0.005321917068428856,6045,0.059356067672790475
Taliyah,4763,0.04676806456997536,1244,0.012214879765914202,6007,0.058982944335889555
Illaoi,2333,0.02290780907867993,3657,0.03590821165912238,5990,0.0588160207378023
Ryze,5058,0.04966467994854826,929,0.00912188368370924,5987,0.058786563632257496
Anivia,3199,0.03141109354594818,2747,0.026972889643863594,5946,0.05838398318981177
Seraphine,5070,0.04978250837072749,817,0.008022151743369697,5887,0.05780466011409719
Karthus,3091,0.030350637746335046,2785,0.02734601298076451,5876,0.057696650727099556
Vex,2707,0.02658012823659947,3048,0.029928419233526113,5755,0.056508547470125584
Annie,4268,0.041907642155081845,1480,0.014532172068772522,5748,0.056439814223854363
Quinn,3090,0.030340818711153444,2610,0.025627681823983974,5700,0.05596850053513742
Rakan,5078,0.049861060652180315,516,0.005066622153707177,5594,0.054927682805887494
Gangplank,3971,0.038991388706145734,1516,0.014885657335310233,5487,0.05387704604145597
Nidalee,4307,0.04229058452716436,1000,0.009819035181603056,5307,0.052109619708767416
Nilah,2190,0.021503687047710694,3023,0.029682943353986038,5213,0.05118663040169673
Zilean,3514,0.034504089628153135,1689,0.01658435042172756,5203,0.051088440049880696
Veigar,4227,0.04150506171263612,721,0.007079524365935803,4948,0.04858458607857192
Kled,3486,0.034229156643068255,1394,0.01368773504315466,4880,0.047916891686222915
Vi,3557,0.03492630814096207,1128,0.011075871684848247,4685,0.04600217982581031
Amumu,3036,0.029810590811346876,1627,0.01597557024046817,4663,0.04578616105181505
Kassadin,2383,0.02339876083776008,2106,0.020678888092456035,4489,0.044077648930216116
Kennen,2844,0.02792533605647909,1623,0.01593629409974176,4467,0.04386163015622085
Brand,3144,0.030871046610960007,1291,0.012676374419449545,4435,0.04354742103040955
TahmKench,2914,0.028612668519191305,1475,0.014483076892864507,4389,0.04309574541205581
